site_id,site_name,cpt_name,borehole_id,latitude,longitude,qc10_mpa,qc50_mpa,ic_median,theta_z_m,n_profile_points,data_source
Canterbury_00958,CPT-BUR-12TT.xls,CPT-BUR-12TT,CPT-BUR-12,-43.50013768,172.67435649,2.2091999999999996,6.0828,1.4655804209761645,0.5999999999999872,2515,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00959,CPT-BUR-15TT.xls,CPT-BUR-15TT,CPT-BUR-15,-43.49850123,172.67257538,1.0306,15.7478,1.3920535835254622,0.5999999999999872,2221,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00960,CPT-BUR-16TT.xls,CPT-BUR-16TT,CPT-BUR-16,-43.498337,172.67417174,1.317,14.3184,1.33356857652565,0.5999999999999872,1501,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00961,CPT-BUR-17TT.xls,CPT-BUR-17TT,CPT-BUR-17,-43.49832988,172.67684678,1.9138,9.473,1.298884448571063,0.5999999999999872,1683,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00962,CPT-BUR-18TT.xls,CPT-BUR-18TT,CPT-BUR-18,-43.49697917,172.67443692,2.1104000000000003,6.3774,1.3526680773610633,0.5999999999999872,2085,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00963,CPT-BUR-19TT.xls,CPT-BUR-19TT,CPT-BUR-19,-43.50024078,172.67914216,1.091,3.3192,1.180448746403152,0.5999999999999872,2236,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00964,CPT-BUR-26TT.xls,CPT-BUR-26TT,CPT-BUR-26,-43.50289566,172.68222256,0.4412,2.36,1.3197396310122183,0.5999999999999872,3056,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00965,CPT-BUR-28TT.xls,CPT-BUR-28TT,CPT-BUR-28,-43.50037608,172.68229023,6.368,13.6722,1.2660254804224738,0.5999999999999872,2423,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00966,CPT-BUR-29TT.xls,CPT-BUR-29TT,CPT-BUR-29,-43.49936247,172.67788141,1.6484,5.3162,1.2479672269517257,0.5999999999999872,2899,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00967,CPT-BUR-30TT.xls,CPT-BUR-30TT,CPT-BUR-30,-43.49765125,172.67695412,2.6178000000000003,6.3788,1.3130117685011538,0.5999999999999872,2097,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00968,CPT-BUR-32TT.xls,CPT-BUR-32TT,CPT-BUR-32,-43.50335911,172.67294695,2.6598,9.9962,1.2720205120455372,0.5999999999999872,2119,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00969,CPT-BUR-33TT.xls,CPT-BUR-33TT,CPT-BUR-33,-43.5053607,172.66770058,5.1696,10.9222,1.1016643476257357,0.6000000000000005,538,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00970,CPT-BUR-34TT.xls,CPT-BUR-34TT,CPT-BUR-34,-43.48815871,172.68126297,2.6568,11.2214,1.2669195492226744,0.5999999999999872,1994,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00971,CPT-BUR-35TT.xls,CPT-BUR-35TT,CPT-BUR-35,-43.48922414,172.68145976,1.7074,5.38,1.3173349164552877,0.5999999999999872,2018,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00972,CPT-BUR-36TT.xls,CPT-BUR-36TT,CPT-BUR-36,-43.48982887,172.6812499,0.954,11.142,1.2453593022319442,0.5999999999999872,1848,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00973,CPT-BUR-37TT.xls,CPT-BUR-37TT,CPT-BUR-37,-43.48983737,172.68263112,2.951,10.502799999999999,1.1643859362135054,0.5999999999999872,1804,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00974,CPT-BUR-39TT.xls,CPT-BUR-39TT,CPT-BUR-39,-43.50144978,172.69164458,1.7994,5.0842,1.342582252074365,0.5999999999999872,2600,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00975,CPT-BUR-40TT.xls,CPT-BUR-40TT,CPT-BUR-40,-43.501612,172.69374529,3.0594,5.5152,1.2104562563507038,0.5999999999999872,1954,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00976,CPT-BUR-41TT.xls,CPT-BUR-41TT,CPT-BUR-41,-43.50134929,172.69626421,0.9907999999999999,5.697,1.3344902748404184,0.5999999999999872,3413,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00977,CPT-BUR-44TT.xls,CPT-BUR-44TT,CPT-BUR-44,-43.49450616,172.69740967,2.6696,6.8662,1.3959852886482131,0.5999999999999872,2773,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00978,CPT-BUR-45TT.xls,CPT-BUR-45TT,CPT-BUR-45,-43.49632286,172.70039566,0.9426,4.248600000000001,1.364740425595515,0.5999999999999872,2621,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00979,CPT-BUR-46TT.xls,CPT-BUR-46TT,CPT-BUR-46,-43.49810711,172.70026596,3.1355999999999997,7.6526000000000005,1.416510822463614,0.5999999999999872,2437,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00980,CPT-BUR-47TT.xls,CPT-BUR-47TT,CPT-BUR-47,-43.48980037,172.68821805,0.5196000000000001,7.8756,1.4149827521679539,0.5999999999999872,1967,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
Canterbury_00981,CPT-BUR-48TT.xls,CPT-BUR-48TT,CPT-BUR-48,-43.48985764,172.68925695,4.5606,9.874600000000001,1.3476752240799639,0.5999999999999872,2611,DesignSafe PRJ-2937 CANTERBURYDATASET.mat
