scenario,gradation,year,layer,z_mid_m,gw_depth_m,fc_pct,pga_g,n160,n1_60cs,csr,pf_nonstationary,fs_deterministic_nonstationary,crr_benchmark_module,crr_bi14_spt_style,fs_bi14_spt_style,delta_fs_bi14_minus_benchmark,pf_bi14_spt_style_diagnostic,delta_pf_bi14_minus_benchmark,method_status
stationary,fines_washout,24,L3,8.0,3.2,19.08,0.28,18.0,22.769182963408955,0.2525321682637648,0.23558333333333334,1.2956374389742413,0.32719013174787637,0.21911384492224792,0.8676670636803304,-0.4279703752939109,0.6956306517374944,0.460047318404161,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,26,L3,8.0,3.2,18.92,0.28,18.0,22.719913582759048,0.2525321682637648,0.24108333333333334,1.2919346040409312,0.32625504681344475,0.2183724747671002,0.8647313182652221,-0.4272032857757091,0.6998943195708333,0.45881098623749994,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,28,L3,8.0,3.2,18.759999999999998,0.28,18.0,22.670220575339286,0.2525321682637648,0.25383333333333336,1.288205495401579,0.325313326923058,0.2176297522576916,0.8617902176738992,-0.42641527772767973,0.7041528663692056,0.45031953303587224,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,30,L3,8.0,3.2,18.6,0.28,18.0,22.620096446085714,0.2525321682637648,0.24816666666666667,1.2844496947803439,0.3243648664486111,0.21688563795062946,0.8588436057148044,-0.42560608906553943,0.7084057981831253,0.4602391315164587,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,32,L3,8.0,3.2,18.44,0.28,18.0,22.569533728792564,0.2525321682637648,0.25316666666666665,1.2806667907064053,0.3234095614804856,0.21614009469067388,0.8558913352572172,-0.42477545544918816,0.7126525972935707,0.459485930626904,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,34,L3,8.0,3.2,18.28,0.28,18.0,22.518525002086154,0.2525321682637648,0.2569166666666667,1.276856379763405,0.3224473101430737,0.21539308779412525,0.8529332689574481,-0.4239231108059568,0.7168927213108675,0.45997605464420077,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,36,L3,8.0,3.2,18.12,0.28,18.0,22.46706290691258,0.2525321682637648,0.25666666666666665,1.2730180679413807,0.3214780129361855,0.21464458524411179,0.8499692800321574,-0.4230487879092233,0.7211256022713823,0.4644589356047157,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,38,L3,8.0,3.2,17.96,0.28,18.0,22.415140165654954,0.2525321682637648,0.2639166666666667,1.2691514720981802,0.32050157310410243,0.21389455789846457,0.8469992530815162,-0.422152219016664,0.7253506457346902,0.4614339790680235,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,40,L3,8.0,3.2,17.8,0.28,18.0,22.36274960300377,0.2525321682637648,0.2673333333333333,1.2652562215377776,0.31951789703415334,0.21314297971091103,0.8440230849651101,-0.4212331365726675,0.7295672298840874,0.4622338965507541,direct_spt_model_form_check_not_site_validation
stationary,fines_washout,42,L3,8.0,3.2,17.64,0.28,18.0,22.309884168711996,0.2525321682637648,0.27016666666666667,1.2613319597133137,0.31852689468678674,0.2123898279663469,0.8410406857335893,-0.42029127397972443,0.7337747046336552,0.4636080379669886,direct_spt_model_form_check_not_site_validation
