scenario,gradation,year,stationary,nonstationary,max_layer_pf,frechet_lower,frechet_upper,psys_independent_layers,delta
rising,constant,8,0.3724791666666667,0.3918333333333333,0.74175,0.74175,1.0,0.9141020681974826,0.019354166666666617
rising,constant,10,0.3724791666666667,0.396625,0.7470833333333333,0.7470833333333333,1.0,0.91751431702625,0.02414583333333331
rising,constant,12,0.3724791666666667,0.402,0.74775,0.74775,1.0,0.9209721140786407,0.02952083333333333
rising,constant,14,0.3724791666666667,0.4020208333333333,0.7350833333333333,0.7350833333333333,1.0,0.9193070583906718,0.029541666666666633
rising,constant,16,0.3724791666666667,0.4126666666666667,0.7455833333333334,0.7455833333333334,1.0,0.926524437758573,0.04018749999999999
rising,constant,18,0.3724791666666667,0.4134791666666666,0.7403333333333333,0.7403333333333333,1.0,0.9268345769874999,0.040999999999999925
rising,constant,20,0.3724791666666667,0.41881250000000003,0.74475,0.74475,1.0,0.9300832947383898,0.04633333333333334
rising,constant,22,0.3724791666666667,0.423125,0.7444166666666666,0.7444166666666666,1.0,0.9324566362807292,0.05064583333333328
rising,constant,24,0.3724791666666667,0.429375,0.7494166666666666,0.7494166666666666,1.0,0.9365529095451184,0.05689583333333331
rising,constant,26,0.3724791666666667,0.43764583333333335,0.7525,0.7525,1.0,0.9412556763902734,0.06516666666666665
rising,constant,28,0.3724791666666667,0.4409375,0.75475,0.75475,1.0,0.9431780827266667,0.06845833333333329
rising,constant,30,0.3724791666666667,0.44983333333333336,0.7525833333333334,0.7525833333333334,1.0,0.9464723965360168,0.07735416666666667
rising,constant,32,0.3724791666666667,0.4561875,0.7616666666666667,0.7616666666666667,1.0,0.9507575957472917,0.08370833333333333
rising,constant,34,0.3724791666666667,0.45775000000000005,0.76775,0.76775,1.0,0.9521821773342014,0.08527083333333335
rising,constant,36,0.3724791666666667,0.4684166666666667,0.7771666666666667,0.7771666666666667,1.0,0.9573370642954103,0.09593750000000001
rising,constant,38,0.3724791666666667,0.4762708333333333,0.79475,0.79475,1.0,0.9618381220848307,0.10379166666666662
rising,constant,40,0.3724791666666667,0.4855625,0.80325,0.80325,1.0,0.9663326038654514,0.11308333333333331
rising,constant,42,0.3724791666666667,0.4935208333333333,0.8104166666666667,0.8104166666666667,1.0,0.9692302153946759,0.1210416666666666
rising,constant,44,0.3724791666666667,0.5015208333333333,0.8248333333333333,0.8248333333333333,1.0,0.9732629963292188,0.1290416666666666
rising,constant,46,0.3724791666666667,0.5111041666666667,0.83025,0.83025,1.0,0.9761661596260622,0.138625
rising,constant,48,0.3724791666666667,0.51675,0.8469166666666667,0.8469166666666667,1.0,0.9789591439252593,0.14427083333333335
rising,constant,50,0.3724791666666667,0.5250416666666666,0.85175,0.85175,1.0,0.9811710103829167,0.15256249999999993
rising,fines_accumulation,0,0.37527083333333333,0.37364583333333334,0.741,0.741,1.0,0.9019557201673466,-0.0016249999999999876
rising,fines_accumulation,2,0.37527083333333333,0.3759166666666667,0.73775,0.73775,1.0,0.903046052478257,0.0006458333333333455
rising,fines_accumulation,4,0.37527083333333333,0.37879166666666664,0.7320833333333333,0.7320833333333333,1.0,0.9035068775155538,0.0035208333333333064
rising,fines_accumulation,6,0.37527083333333333,0.37695833333333334,0.7340833333333333,0.7340833333333333,1.0,0.9027840221741783,0.0016875000000000084
rising,fines_accumulation,8,0.37527083333333333,0.3774375,0.72775,0.72775,1.0,0.901949621174448,0.00216666666666665
rising,fines_accumulation,10,0.37527083333333333,0.3797083333333333,0.7175833333333334,0.7175833333333334,1.0,0.9012152642372512,0.004437499999999983
rising,fines_accumulation,12,0.37527083333333333,0.3789375,0.7173333333333334,0.7173333333333334,1.0,0.9001861015194075,0.0036666666666666514
rising,fines_accumulation,14,0.37527083333333333,0.3792291666666667,0.7064166666666667,0.7064166666666667,1.0,0.8988250488769629,0.0039583333333333415
rising,fines_accumulation,16,0.37527083333333333,0.38535416666666666,0.7091666666666666,0.7091666666666666,1.0,0.9035759560013252,0.010083333333333333
rising,fines_accumulation,18,0.37527083333333333,0.3884375,0.7110833333333333,0.7110833333333333,1.0,0.9063332246520023,0.01316666666666666
rising,fines_accumulation,20,0.37527083333333333,0.3870416666666667,0.6934166666666667,0.6934166666666667,1.0,0.9025583910537633,0.011770833333333341
rising,fines_accumulation,22,0.37527083333333333,0.3927083333333333,0.7008333333333333,0.7008333333333333,1.0,0.9076848657609993,0.017437499999999995
rising,fines_accumulation,24,0.37527083333333333,0.3950208333333333,0.6956666666666667,0.6956666666666667,1.0,0.9081956746929629,0.01974999999999999
rising,fines_accumulation,26,0.37527083333333333,0.39520833333333333,0.6979166666666666,0.6979166666666666,1.0,0.9086913512434895,0.019937499999999997
rising,fines_accumulation,28,0.37527083333333333,0.3975,0.6935833333333333,0.6935833333333333,1.0,0.9101489685941806,0.02222916666666669
rising,fines_accumulation,30,0.37527083333333333,0.40377083333333336,0.6891666666666667,0.6891666666666667,1.0,0.9137197398433975,0.028500000000000025
rising,fines_accumulation,32,0.37527083333333333,0.4082708333333333,0.69475,0.69475,1.0,0.9172171123703455,0.032999999999999974
rising,fines_accumulation,34,0.37527083333333333,0.4117708333333333,0.69775,0.69775,1.0,0.9196608328923959,0.03649999999999998
rising,fines_accumulation,36,0.37527083333333333,0.412625,0.69825,0.69825,1.0,0.9200671094213871,0.03735416666666669
rising,fines_accumulation,38,0.37527083333333333,0.42122916666666665,0.7090833333333333,0.7090833333333333,1.0,0.9268509998331139,0.04595833333333332
rising,fines_accumulation,40,0.37527083333333333,0.42433333333333334,0.7093333333333334,0.7093333333333334,1.0,0.9287138025027655,0.04906250000000001
rising,fines_accumulation,42,0.37527083333333333,0.4350833333333333,0.7311666666666666,0.7311666666666666,1.0,0.9369650296931229,0.05981249999999999
rising,fines_accumulation,44,0.37527083333333333,0.43547916666666664,0.72825,0.72825,1.0,0.9367142528526273,0.06020833333333331
rising,fines_accumulation,46,0.37527083333333333,0.44608333333333333,0.7444166666666666,0.7444166666666666,1.0,0.9440557587962077,0.0708125
rising,fines_accumulation,48,0.37527083333333333,0.4525416666666667,0.7528333333333334,0.7528333333333334,1.0,0.9476000936402155,0.07727083333333334
rising,fines_accumulation,50,0.37527083333333333,0.45625,0.7649166666666667,0.7649166666666667,1.0,0.950482708966071,0.08097916666666666
rising,fines_washout,0,0.3758958333333333,0.3743958333333333,0.73725,0.73725,1.0,0.9016077457763672,-0.0015000000000000013
rising,fines_washout,2,0.3758958333333333,0.38014583333333335,0.7375833333333334,0.7375833333333334,1.0,0.9051192463015183,0.0042500000000000315
rising,fines_washout,4,0.3758958333333333,0.38641666666666663,0.7444166666666666,0.7444166666666666,1.0,0.9108446643366397,0.010520833333333313
rising,fines_washout,6,0.3758958333333333,0.39447916666666666,0.74875,0.74875,1.0,0.9164310189604774,0.01858333333333334
rising,fines_washout,8,0.3758958333333333,0.3997708333333333,0.7504166666666666,0.7504166666666666,1.0,0.9197819568690047,0.02387499999999998
rising,fines_washout,10,0.3758958333333333,0.40929166666666666,0.7630833333333333,0.7630833333333333,1.0,0.9274994540665934,0.03339583333333335
rising,fines_washout,12,0.3758958333333333,0.4169583333333333,0.7616666666666667,0.7616666666666667,1.0,0.9324036582455902,0.0410625
rising,fines_washout,14,0.3758958333333333,0.42114583333333333,0.76,0.76,1.0,0.93378685468,0.04525000000000001
rising,fines_washout,16,0.3758958333333333,0.42914583333333334,0.7624166666666666,0.7624166666666666,1.0,0.9384035443687098,0.05325000000000002
rising,fines_washout,18,0.3758958333333333,0.4363125,0.7659166666666667,0.7659166666666667,1.0,0.9424506243962559,0.060416666666666674
rising,fines_washout,20,0.3758958333333333,0.44608333333333333,0.7681666666666667,0.7681666666666667,1.0,0.9470201953194174,0.07018750000000001
rising,fines_washout,22,0.3758958333333333,0.45114583333333336,0.7690833333333333,0.7690833333333333,1.0,0.949529881818809,0.07525000000000004
rising,fines_washout,24,0.3758958333333333,0.461,0.7803333333333333,0.7803333333333333,1.0,0.9551962710380659,0.0851041666666667
rising,fines_washout,26,0.3758958333333333,0.4661666666666667,0.77525,0.77525,1.0,0.9563873598916667,0.09027083333333336
rising,fines_washout,28,0.3758958333333333,0.47412499999999996,0.7876666666666666,0.7876666666666666,1.0,0.9603876232819444,0.09822916666666665
rising,fines_washout,30,0.3758958333333333,0.4815833333333333,0.7885833333333333,0.7885833333333333,1.0,0.9643338875762442,0.10568749999999999
rising,fines_washout,32,0.3758958333333333,0.48885416666666665,0.79925,0.79925,1.0,0.9669857070554687,0.11295833333333333
rising,fines_washout,34,0.3758958333333333,0.497625,0.8018333333333333,0.8018333333333333,1.0,0.9701318925311053,0.12172916666666667
rising,fines_washout,36,0.3758958333333333,0.5057291666666667,0.8083333333333333,0.8083333333333333,1.0,0.9734621012549383,0.12983333333333336
