case_no,earthquake,site,liquefied,mw,pga,csr75,fc_pct,gc_pct,n120,vs1_ms,dw_m,ds_m,hn_m,dn_m,shallow_groundwater_index,demand_index,dpt_resistance_index,vs_resistance_index,capping_index,dpt_screening_score,vs_screening_score,combined_instrument_score,n120_cs,crr_static_benchmark,fs_static_proxy,g_static_proxy,minus_g_static_proxy,pf_static_proxy
137.0,Guatemala earthquake,Lake Amatitlan B-2,1.0,7.5,0.12,0.1506009571250677,10.0,22.0,10.0111368587464,205.71315808920528,2.51,9.0,0.5,1.0,0.026481110907517754,-1.0763400141804351,0.5616636192498421,0.20926724081997777,-0.3223894957249336,-0.3266771732109863,-0.4323960867399457,-0.23335608555393136,11.09696368648857,0.1444243657843144,0.9589870379401113,-0.04101296205988869,0.04101296205988869,0.5600180276555297
138.0,Guatemala earthquake,Lake Amatitlan B-4,0.0,7.5,0.12,0.140905564237644,10.0,19.0,8.782300363634159,198.4270195363455,3.35,10.8,3.6,0.0,-0.38893207025622195,-1.1344685614729657,0.7006202763291801,0.34627560807973157,0.460093047575911,-0.35510653143652937,-0.4614099319113639,-0.24246658130620447,9.841556334362519,0.1294039476666132,0.9183735813893569,-0.08162641861064313,0.08162641861064313,0.6206020734192185
139.0,Chi-Chi earthquake,"NanTou, B-1",0.0,7.6,0.428,0.4088068754440023,15.3,41.0,10.612683296400403,190.8039727142075,1.5,5.0,0.0,1.5,0.5259660073067759,0.471728755026686,0.49364083315351154,0.48961919001530346,-0.7136307673753559,0.42988185280064956,0.42867535985918714,0.4312687319856905,13.723123434386602,0.17875771820082292,0.43726690752614034,-0.5627330924738596,0.5627330924738596,0.9985728144827539
140.0,Chi-Chi earthquake,"NanTou, B-2",0.0,7.6,0.428,0.4416732242790947,20.5,45.0,13.98570841446936,223.2562272438651,1.8,7.3,5.8,0.0,0.3776041568911546,0.6687783366967216,0.11221962983167315,-0.12061219314460339,0.460093047575911,0.4331416242200532,0.36329207732717017,0.330919388938293,18.842327721275677,0.2570127287486181,0.581906972441261,-0.418093027558739,0.418093027558739,0.9745605332208565
141.0,Chi-Chi earthquake,"NanTou, BH-2",0.0,7.6,0.428,0.4182674755173138,19.0,13.0,14.153537983582453,222.1474788600151,1.7,7.2,0.0,1.7,0.4270581070296951,0.5284496063797596,0.09324148589162778,-0.09976331624346924,-0.8701272760355249,0.3076800262425429,0.24977858560201383,0.2255582537667103,18.618042915840704,0.2532705130190003,0.6055228480430015,-0.3944771519569985,0.3944771519569985,0.9647778370637607
142.0,Chi-Chi earthquake,"NanTou, BH-3",0.0,7.6,0.428,0.3677561897979204,16.0,45.0,18.540287312031467,269.7576224395867,4.0,17.2,1.4,0.0,-0.7103827461567347,0.22561013459776663,-0.4028115077742447,-0.9950232662864619,0.460093047575911,-0.13839078861582976,-0.3160543161694949,-0.3196753045554744,22.308597865571375,0.31850280186805036,0.8660705399494854,-0.13392946005051465,0.13392946005051465,0.6979508860601251
143.0,Chi-Chi earthquake,"NanTou, BH-4",0.0,7.6,0.428,0.3139407843082483,19.0,46.0,8.466390846060602,178.47472291230758,5.0,7.2,0.0,5.0,-1.2049222475421388,-0.09703912566386244,0.7363432798989579,0.7214580951693847,-3.452319668928312,-0.23636505553389414,-0.2408306109527661,-0.15600385192352673,12.516762956353485,0.16249687980119826,0.5176035989056071,-0.48239640109439286,0.48239640109439286,0.9912202011742293
144.0,Chi-Chi earthquake,"NanTou, BH-5",0.0,7.6,0.428,0.3916593575999714,22.0,9.0,18.75810561399868,273.2833339170392,2.8,17.8,4.6,0.0,-0.11693534449424949,0.3689211314966275,-0.42744237055578754,-1.061320656797262,0.460093047575911,0.037399381486691766,-0.15276410438575055,-0.16901262596684463,24.4314387697223,0.3595509855999287,0.9180196480002473,-0.08198035199975273,0.08198035199975273,0.6211309638306949
145.0,Chi-Chi earthquake,"NanTou, BH-6",1.0,7.6,0.428,0.4121732152971303,14.0,53.0,7.105907793466519,164.1855606686489,1.2,3.3,1.2,0.0,0.6743278577223972,0.4919115828529938,0.8901865110802545,0.9901511448980367,0.460093047575911,0.6462863895311985,0.6762757796765332,0.7061068091174811,9.611824797353576,0.12675278789417474,0.30752310725188753,-0.6924768927481124,0.6924768927481124,0.9999894217396489
146.0,Chi-Chi earthquake,"NanTou, BH-7",0.0,7.6,0.428,0.4311931724967988,20.0,42.0,17.514658851430415,263.8170383100094,0.65,16.2,1.8,0.0,0.9463245834843695,0.6059453816294168,-0.2868335864987766,-0.8833166707752995,0.460093047575911,0.3988949148592741,0.21994998957631717,0.19032040119115012,22.520738936206648,0.3224890439170288,0.7478992351610646,-0.2521007648389354,0.2521007648389354,0.8525707837442715
