case_id,source_dataset,validation_split,earthquake,site,mw,pga,csr75,groundwater_table_m,critical_layer_depth_m,unsaturated_cap_or_cover_m,n120,vs1_ms,fc_pct,gc_pct,observed_liquefaction,n1_60cs_proxy,crr_static_benchmark,fs_static_proxy,g_static_proxy,pf_static_proxy,combined_instrument_score,dpt_screening_score,vs_screening_score
HU-039,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Baiyang Village, Mianzhu",7.9,0.35,0.3680692572303274,1.5,3.8,0.0,9.638002284641232,189.9483091949224,5.0,60.0,1,9.638002284641232,0.1270533602495501,0.34518873215766477,-0.6548112678423352,0.9999373888617044,0.4297316853467298,0.4117243471242274,0.38227977952288
HU-040,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Guihua village, Mianzhu, DY-41",7.9,0.39,0.455491361187325,0.6,2.2,0.0,15.990301447584264,214.96969829145343,5.0,48.0,1,15.990301447584264,0.2115676219838317,0.4644821834432609,-0.5355178165567391,0.9971561906759205,0.46443322037135143,0.521108247538491,0.5660083346508858
HU-041,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongning village, Mianzhu",7.9,0.41,0.5026409477339917,1.4,10.2,0.0,36.66372960292265,333.2211720874219,4.0,50.0,0,36.66372960292265,0.49107142857142855,0.9769825375057067,-0.02301746249429326,0.5334611576070662,-0.42802275439666587,-0.13213456212341745,-0.052989302799372764
HU-042,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Sangyuan village, Mianzhu, DY-44",7.9,0.29,0.2332997200077425,2.8,3.5,1.6,15.20437395948942,235.9455653371421,5.0,63.7,1,15.20437395948942,0.19986130493623133,0.8566718593987106,-0.1433281406012894,0.7115312530686123,-0.34312523053308314,-0.33189159470986324,-0.43198218227419055
HU-043,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Wufang village, Mianzhu",7.9,0.27,0.2739497723203795,2.0,4.6,0.0,23.58546692351033,212.2942839484172,,25.8,0,,,,,,-0.21669842666837874,-0.3648140293107559,-0.04716334350295505
HU-044,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Baihutou Village, Shifang, DY-39",7.9,0.594,0.5652934113679787,1.2,2.2,0.0,22.471157083124712,237.4442520522688,5.0,50.0,1,22.471157083124712,0.3215550720235399,0.5688286216628538,-0.43117137833714625,0.9790479345233281,0.4044060936470066,0.538149500861323,0.6761225754109482
HU-045,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Siyuan Village, Shifang, DY-11",7.9,0.41,0.401058570737187,1.5,3.0,0.3,14.667211562172549,206.8830539624988,5.0,50.0,1,14.667211562172549,0.19206338202643308,0.47889110479150415,-0.5211088952084959,0.9960357662916517,0.3097912738725036,0.31838049315037587,0.36401445248576947
HU-046,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Zhenjiang village, Shifang, DY-42",7.9,0.29,0.3110576685149002,0.9,2.4,0.2,15.728840625403857,274.79381600222905,5.0,74.0,1,15.728840625403857,0.207634008003928,0.6675096903903592,-0.33249030960964077,0.9275228510304808,-0.09521935650127412,0.10280355766367273,-0.1986455053723176
HU-047,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Quezhu village, Shifang",7.9,0.26,0.2249506780682876,6.0,10.5,4.0,19.889669388582025,258.0644163823614,5.0,50.0,0,19.889669388582025,0.27486825748872373,1.2219045519181888,0.2219045519181888,0.2349322162584368,-0.9601951738230502,-0.9237639805226739,-0.989687501419879
HU-048,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jiangyou Train Station−1, MY-13",7.9,0.52,0.4988358173734071,2.4,4.7,0.7,19.008721457758195,239.32145201336635,5.0,50.0,1,19.008721457758195,0.25980759913727114,0.5208278758034536,-0.4791721241965464,0.9906732107197794,0.19012046322815276,0.33023228118397185,0.34015619013435566
HU-049,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jiangyou rail station line−2, MY-12",7.9,0.52,0.5068554722996818,3.0,6.5,1.9,17.776343036990546,240.6786531366126,5.0,50.0,0,17.776343036990546,0.23948301545878622,0.4724877771807705,-0.5275122228192295,0.996570812274854,0.12342264282574147,0.28738250289438944,0.2478430257842184
HU-050,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yongshou Village, Dujiangyan, CD-17",7.9,0.25,0.21151333599417,2.1,2.9,1.1,22.024225057007165,320.897330205846,5.0,85.0,1,22.024225057007165,0.3131996289979399,1.4807559415855118,0.4807559415855118,0.07844905821284792,-0.7737683196967494,-0.5332292768392219,-0.8811927841874804
HU-051,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Quanshui village, Dujiangyan, CD-03",7.9,0.24,0.2327058178606368,0.9,1.7,0.0,20.341729738397373,315.35449338614404,4.5,4.8,1,20.341729738397373,0.2827688386136271,1.2151343752951296,0.21513437529512958,0.2411326141242527,-0.508674864470224,-0.25724974836069436,-0.6310219460025864
HU-052,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Fengle valliage, Dujiangyan, CD-04",7.9,0.25,0.220143510949364,1.4,2.1,0.0,11.039308896352656,271.36543520442274,5.0,45.0,1,11.039308896352656,0.14371482026470703,0.652823331675506,-0.347176668324494,0.9379528854243891,-0.20867267472517387,-0.02502145312349273,-0.4662178355180527
HU-053,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Jingyu village, Pixian, CD-26",7.9,0.2,0.186547945072085,1.5,2.6,0.0,14.696334129370673,260.01439131251965,5.0,87.0,0,14.696334129370673,0.1924819236216582,1.0318094018525918,0.031809401852591845,0.4550465798940051,-0.3290792509479758,-0.2496127269807052,-0.5027149168279127
HU-054,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Business College, Dujiangyan",7.9,0.27,0.2366020485279339,2.3,3.5,0.2,24.431462576693267,255.57049546571784,5.0,50.0,0,24.431462576693267,0.3595514603816797,1.5196464384763348,0.5196464384763348,0.06564055132439739,-0.5144527495047809,-0.5317736572256307,-0.42955289072874453
HU-055,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Ruikang garden, Dujiangyan",7.9,0.31,0.2447875424537845,5.4,6.9,5.4,44.86116514237046,345.88305842702067,5.0,40.0,0,44.86116514237046,0.49107142857142855,2.0061128260403285,1.0061128260403285,0.006027033442475349,-1.80902072070097,-1.7128057831021033,-1.4269992066228436
HU-056,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Zipingpu village, Dujiangyan, B-1",7.9,0.37,0.3116150005021832,3.0,4.2,2.0,28.56404491252431,290.4024497414858,5.0,60.0,0,28.56404491252431,0.4468469577487667,1.4339712691258457,0.4339712691258457,0.09683344739599642,-0.7211613491073421,-0.6092437243942859,-0.5633231693859294
HU-057,Hu et al. (2021) gravelly-soil case histories,Wenchuan focal field subset,Wenchuan earthquake,"Yutang village, Dujiangyan, A-1",7.9,0.32,0.268099347805614,1.5,2.0,0.7,39.42610320125949,292.22649177829965,5.0,40.0,0,39.42610320125949,0.49107142857142855,1.8316770726629328,0.8316770726629328,0.014535502109734588,-0.8657680341252921,-0.8959082911919541,-0.4917935039085278
