holdout_family,site_id,site_family,model_name,pf,observed_liquefaction,validation_protocol,holdout_family_pair,validation_split,wtd_event_site_adjusted_m,qc10_mpa,ic_median,theta_z_m,year,layer_id,csr,crr,fs,beta_equivalent,critical_layer_rank,notes
Factoria,Factoria_01,Factoria,M3_full_nonstationary_random_field,0.00021804959683779192,0,leave-one-site-family-out spatial validation,,,1.312706806850911,0.772008714,1.4636322984428032,0.9138655462184874,2001,site_screening_profile,,,,3.5172157277336527,,spatial cross-fitted site-calibrated probability
Green River,Green_River_01,Green River,M0_static_stationary,0.323351579603359,0,leave-one-site-family-out spatial validation,,,4.970306806850911,0.8283768579999999,1.602768866984708,0.5819327731092436,2001,site_screening_profile,,,,0.45834700454108857,,spatial cross-fitted site-calibrated probability
Green River,Green_River_01,Green River,M1_nonstationary_groundwater_only,0.7047639318201128,0,leave-one-site-family-out spatial validation,,,4.970306806850911,0.8283768579999999,1.602768866984708,0.5819327731092436,2001,site_screening_profile,,,,-0.5381519692735638,,spatial cross-fitted site-calibrated probability
Green River,Green_River_01,Green River,M2_nonstationary_groundwater_gradation,0.1138385931050188,0,leave-one-site-family-out spatial validation,,,4.970306806850911,0.8283768579999999,1.602768866984708,0.5819327731092436,2001,site_screening_profile,,,,1.2063639592462072,,spatial cross-fitted site-calibrated probability
Green River,Green_River_01,Green River,M3_full_nonstationary_random_field,0.3209154563807357,0,leave-one-site-family-out spatial validation,,,4.970306806850911,0.8283768579999999,1.602768866984708,0.5819327731092436,2001,site_screening_profile,,,,0.4651404048842782,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_01,Harbor Island,M0_static_stationary,0.3895988990816008,1,leave-one-site-family-out spatial validation,,,3.0805468068509114,3.9841733020000003,1.2834571254132703,0.5819327731092436,2001,site_screening_profile,,,,0.2803645938745998,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_02,Harbor Island,M0_static_stationary,0.48196504855118055,1,leave-one-site-family-out spatial validation,,,2.2271068068509114,3.868187174,1.0722716584259975,1.0798319327731092,2001,site_screening_profile,,,,0.045222328227396975,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_01,Harbor Island,M1_nonstationary_groundwater_only,0.2689232310963901,1,leave-one-site-family-out spatial validation,,,3.0805468068509114,3.9841733020000003,1.2834571254132703,0.5819327731092436,2001,site_screening_profile,,,,0.616072816465848,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_02,Harbor Island,M1_nonstationary_groundwater_only,0.45025935676242135,1,leave-one-site-family-out spatial validation,,,2.2271068068509114,3.868187174,1.0722716584259975,1.0798319327731092,2001,site_screening_profile,,,,0.12500610959610212,,spatial cross-fitted site-calibrated probability
Harbor Island,Harbor_Island_01,Harbor Island,M2_nonstationary_groundwater_gradation,0.9992120060003069,1,leave-one-site-family-out spatial validation,,,3.0805468068509114,3.9841733020000003,1.2834571254132703,0.5819327731092436,2001,site_screening_profile,,,,-3.160314727947958,,spatial cross-fitted site-calibrated probability
