heldout_event_key,heldout_event_name,model_name,false_negative_cost_ratio,locked_threshold_selected_on_training_events,training_selection_loss,test_expected_loss_per_case,test_fn,test_fp,test_tp,test_tn,n_test,threshold_policy
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,10,0.1,0.4564864864864865,0.8674321503131524,0,4155,154,481,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,20,0.05,0.46054054054054056,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,50,0.05,0.47135135135135137,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M2_nonstationary_groundwater_gradation,100,0.05,0.48936936936936937,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,1,0.575,0.20963963963963964,0.032359081419624215,146,9,8,4627,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,2,0.3,0.3332432432432432,0.2872651356993737,12,1352,142,3284,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,5,0.225,0.41405405405405404,0.49373695198329853,3,2350,151,2286,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,10,0.1,0.4564864864864865,0.8670146137787056,0,4153,154,483,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,20,0.05,0.46045045045045047,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,50,0.05,0.4712612612612613,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
Yr2016,2016 Valentine earthquake,M3_full_nonstationary_random_field,100,0.05,0.4892792792792793,0.9463465553235908,0,4533,154,103,4790,selected_on_two_canterbury_events_then_applied_to_heldout_event
