site_id,event_key,pga_g,wtd_event_site_adjusted_m,manifestation_code,observed_liquefaction,severe_manifestation,critical_layer_depth_m,critical_layer_qc_mpa,critical_layer_saturated,critical_crossing_margin_m
Canterbury_02243,Yr2011,0.343,1.72263824939727,5,1,1,2.79,0.65788,1,1.06736175060273
Canterbury_02243,Yr2016,0.098936126,1.4141822009801792,0,0,0,2.79,0.65788,1,1.3758177990198208
Canterbury_02244,Yr2010,0.208,1.64183902740478,0,0,0,1.05,2.2629,0,-0.59183902740478
Canterbury_02244,Yr2011,0.345,1.72225761413574,4,1,1,1.05,2.2629,0,-0.6722576141357399
Canterbury_02244,Yr2016,0.099881165,1.4138223484039287,0,0,0,1.05,2.2629,0,-0.3638223484039287
Canterbury_02245,Yr2010,0.21,1.24780488014221,0,0,0,1.85,0.92905,1,0.6021951198577902
Canterbury_02245,Yr2011,0.34,1.34297788143158,5,1,1,1.85,0.92905,1,0.50702211856842
Canterbury_02245,Yr2016,0.097876884,1.0552512891054158,0,0,0,1.85,0.92905,1,0.7947487108945843
Canterbury_02246,Yr2010,0.211,1.78976094722747,0,0,0,2.44,1.3326200000000001,1,0.6502390527725299
Canterbury_02246,Yr2011,0.332,1.90952563285827,0,0,0,2.44,1.3326200000000001,1,0.53047436714173
Canterbury_02246,Yr2016,0.096513353,1.5908655333042085,0,0,0,2.44,1.3326200000000001,1,0.8491344666957914
Canterbury_02247,Yr2010,0.208,2.10569667816162,0,0,0,1.91,0.94042,0,-0.19569667816162029
Canterbury_02247,Yr2011,0.346,2.16932892799377,1,1,0,1.91,0.94042,0,-0.25932892799377005
Canterbury_02247,Yr2016,0.098556191,1.8364835685253103,0,0,0,1.91,0.94042,1,0.07351643147468967
Canterbury_02248,Yr2010,0.21,2.18867850303649,0,0,0,2.17,1.90693,0,-0.018678503036490213
Canterbury_02248,Yr2011,0.339,2.28669738769531,4,1,1,2.17,1.90693,0,-0.1166973876953099
Canterbury_02248,Yr2016,0.096979357,1.9474437103271462,0,0,0,2.17,1.90693,1,0.22255628967285368
Canterbury_02249,Yr2010,0.203,1.98834443092346,0,0,0,0.855,4.5648,0,-1.13334443092346
Canterbury_02249,Yr2011,0.367,2.00287675857544,5,1,1,0.855,4.5648,0,-1.14787675857544
Canterbury_02249,Yr2016,0.103557713,1.679119687557221,0,0,0,0.855,4.5648,0,-0.824119687557221
Canterbury_02250,Yr2010,0.199,2.06749010086059,1,1,0,4.04,0.9666,1,1.97250989913941
Canterbury_02250,Yr2011,0.382,1.9831371307373,4,1,1,4.04,0.9666,1,2.0568628692627
Canterbury_02250,Yr2016,0.104378313,1.6604578433990436,0,0,0,4.04,0.9666,1,2.3795421566009565
Canterbury_02251,Yr2010,0.2,1.83344960212707,1,1,0,0.84,1.79,0,-0.9934496021270701
Canterbury_02251,Yr2011,0.376,1.77750396728515,4,1,1,0.84,1.79,0,-0.9375039672851501
Canterbury_02251,Yr2016,0.104608998,1.466052250671381,0,0,0,0.84,1.79,0,-0.6260522506713809
