domain,source_file,validation_protocol,threshold,n_test,tp,fp,tn,fn,sensitivity,specificity,false_negative_rate,false_positive_rate,balanced_accuracy,protocol,heldout_group
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Elliott Ave
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Emerald Downs
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Factoria
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,1,0,0,,0.0,,1.0,0.0,leave_one_family_out,Green River
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,2,2,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,Harbor Island
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,1,0,0,1,0,,1.0,,0.0,0.5,leave_one_family_out,Issaquah
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,4,4,0,0,0,1.0,,0.0,,0.5,leave_one_family_out,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,2,0,0,2,0,,1.0,,0.0,0.5,leave_one_family_out,Smith Cove
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,4,0,0,4,0,,1.0,,0.0,0.5,leave_one_family_out,UW
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,3,0,0,3,0,,1.0,,0.0,0.5,leave_one_region_out,eastside
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,8,5,0,1,2,0.7142857142857143,1.0,0.2857142857142857,0.0,0.8571428571428572,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,8,6,0,1,1,0.8571428571428571,1.0,0.14285714285714285,0.0,0.9285714285714286,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,8,7,0,1,0,1.0,1.0,0.0,0.0,1.0,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,8,7,0,1,0,1.0,1.0,0.0,0.0,1.0,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,8,7,0,1,0,1.0,1.0,0.0,0.0,1.0,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,8,7,0,1,0,1.0,1.0,0.0,0.0,1.0,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,8,7,0,1,0,1.0,1.0,0.0,0.0,1.0,leave_one_region_out,industrial_waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,8,0,0,8,0,,1.0,,0.0,0.5,leave_one_region_out,north_seattle
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,5,2,1,2,0,1.0,0.6666666666666666,0.0,0.3333333333333333,0.8333333333333333,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,1,0,0,1,0,,1.0,,0.0,0.5,nested_family_cv_select_by_inner_brier,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,1,0,0,1,0,,1.0,,0.0,0.5,nested_family_cv_select_by_inner_brier,Blair Waterway
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,1,0,0,1,0,,1.0,,0.0,0.5,nested_family_cv_select_by_inner_brier,Blair Waterway
