domain,source_file,validation_protocol,threshold,site_id,site_name,site_family,region,event_name,observed_liquefaction,conservative_max_pf,conservative_selected_model,error_type,protocol,heldout_group
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,Green_River_01,Green River-01,Green River,south_sound_or_green_river,,0,0.5405262481217864,M1_groundwater,false_positive,leave_one_region_out,south_sound_or_green_river
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.4310033408879197,M2_groundwater_gradation,false_positive,nested_family_cv_select_by_inner_brier,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.4310033408879197,M2_groundwater_gradation,false_positive,nested_family_cv_select_by_inner_brier,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.4310033408879197,M2_groundwater_gradation,false_positive,nested_family_cv_select_by_inner_brier,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.4310033408879197,M2_groundwater_gradation,false_positive,nested_family_cv_select_by_inner_brier,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.375,Duwamish_01,Duwamish-01,Duwamish,industrial_waterway,,0,0.4310033408879197,M2_groundwater_gradation,false_positive,nested_family_cv_select_by_inner_brier,Duwamish
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.5,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.45,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.43,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.425,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.42,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
nisqually_protocol_exploration,outputs/conservative_max_guardrail_protocol_predictions.csv,,0.4,SODO_03,SODO-03,SODO,industrial_waterway,,1,0.3925761235275525,M2_groundwater_gradation,false_negative,nested_family_cv_select_by_inner_brier,SODO
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.5,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.45,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.43,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.425,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.42,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.4,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
canterbury_temporal_transfer,outputs/conservative_max_guardrail_canterbury_predictions.csv,Nisqually-trained temporal transfer to Canterbury 100 Osbourne CPT01,0.375,Canterbury_100_Osbourne_CPT01,Canterbury_100_Osbourne_CPT01,,,2010 Darfield earthquake,0,0.9881392012944938,M1_nonstationary_groundwater_only,false_positive,,
